ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
36,3M COMPANY,327910,n.a.,7022000,6210000,6795000,7198000,6919000,7062000,7145000,6685000,6483000,n.a.,5384000,4570000,5349000,4858000,5050000,4833000,4956000,4659000,4444000,n.a.,47344000,44659000,36500000,37987000,32906000,32883000,31209000,33550000,33876000,n.a.,5038000,2921000,3233000,4129000,2678000,1916000,3336000,3337000,4531000,n.a.,7948000,9222000,7244000,7687000,6219000,7118000,5964000,7498000,6200000,n.a.,300000,194000,243000,310000,299000,332000,435000,454000,416000,n.a.,-1374000,-1252000,-1239000,-1306000,-1212000,-1206000,-1180000,-1135000,-1055000
37,TESLA; INC.,336111,n.a.,1994000,80000,-252840,-1632086,-667340,-716629,-186689,-61283,-394283,n.a.,690000,-870000,-976091,-1961400,-674914,-888663,-294040,-74014,-396213,n.a.,52148000,34309000,29739614,28655372,22664076,8067939,5830667,2416930,1114190,n.a.,19384000,6268000,3685618,3367914,3393216,1196908,1905713,845889,201890,n.a.,14248000,10667000,9992136,7674670,5827005,2811035,2107166,675160,539108,n.a.,777000,611000,348663,185807,152897,101206,71229,38067,9710,n.a.,-2271000,-2110000,-1901050,-1636003,-947099,-422590,-231931,-106083,-28825
38,JABIL; INC.,334412,1132000,798332,727270,579055,572737,534202,588477,297405,532932,549570,696000,53912,287111,86330,129090,254095,284019,241313,371482,394687,16654000,14397416,12970475,12045641,11095995,10322677,9591600,8479746,9153781,7803141,1567000,1393557,1163343,1257949,1189919,912059,913963,1000249,1011373,1217256,10683000,9059483,8532105,7230873,6870593,5568056,5674274,4321097,4864434,3858996,n.a.,n.a.,n.a.,n.a.,n.a.,0,2455,32717,44327,39620,-828000,-739037,-739910,-735213,-724856,-659500,-504700,-461300,-382600,-319200
39,STARBUCKS CORP,722515,4657200,1517900,3915700,3806500,3896800,3853700,3351100,2792600,2207300,1786700,4199300,928300,3599200,4518300,2884700,2817700,2757400,2068100,8300,1383800,31392600,29374500,19219600,24156400,14365600,14312500,12416300,10752900,11516700,8219200,6617900,4632100,2757100,8937800,2690900,2263200,1611400,1843800,3233800,2037000,8151400,7346800,6168700,5684200,4220700,4546800,3648100,3038700,5377300,2209800,566000,260900,1468400,286600,226600,368400,259000,272000,125000,138300,-1300700,-1279500,-1216500,-1119400,-1009600,-972800,-925100,-740700,-647900,-576100
40,PHILIP MORRIS INTERNATIONAL INC.,312230,n.a.,11668000,10964000,11377000,11581000,10903000,10623000,11702000,13516000,13863000,n.a.,8056000,7185000,7911000,6035000,6967000,6873000,7493000,8576000,8800000,n.a.,44815000,42875000,39801000,42968000,36851000,33956000,35187000,38168000,37670000,n.a.,7280000,6861000,6593000,8447000,4239000,3417000,1682000,2154000,2983000,n.a.,19615000,18833000,17191000,15962000,16467000,15386000,15112000,17066000,17016000,n.a.,1091000,796000,576000,812000,832000,1176000,1236000,1304000,1570000,n.a.,-908000,-898000,-907000,-787000,-669000,-672000,-796000,-789000,-801000
41,HEWLETT PACKARD ENTERPRISE COMPANY,334111,2113000,723000,2477000,2261000,1846000,4827000,3017000,3811000,3953000,-12352000,3427000,-322000,1049000,1908000,344000,3161000,2461000,1648000,2051000,-14761000,57699000,54015000,51803000,55493000,61406000,79629000,79916000,65071000,68775000,n.a.,3996000,4233000,3753000,4880000,9579000,12987000,9842000,2319000,2182000,n.a.,20687000,18738000,19159000,17198000,18924000,22529000,21993000,19760000,20912000,n.a.,169000,148000,186000,378000,429000,161000,476000,706000,711000,n.a.,-2243000,-2246000,-2300000,-2300000,-2273000,-3503000,-3718000,-3238000,-3168000,-3217000
42,MICRON TECHNOLOGY INC,334413,6771000,3063000,7347000,15022000,5886000,235000,3001000,3360000,362000,-602000,5861000,2687000,6313000,14135000,5089000,-276000,2899000,3045000,1190000,-1032000,58849000,53678000,48887000,43376000,35336000,27540000,24143000,22498000,19118000,14328000,8633000,8142000,7955000,6802000,5428000,4398000,3521000,4534000,3101000,2559000,6424000,6635000,6390000,5754000,5334000,4835000,3905000,4811000,4125000,2243000,364000,237000,309000,402000,163000,41000,85000,71000,47000,25000,-6132000,-5650000,-5424000,-4759000,-3760000,-2863000,-2550000,-1993000,-1721000,-2053000
43,BROADCOM INC.,334413,8668000,4338000,4190000,5269000,2617000,644000,1776000,600000,555000,589000,6437000,2663000,2695000,12259000,1692000,-1739000,1364000,263000,552000,563000,75570000,75933000,67493000,50124000,54418000,49966000,10515000,10491000,3415000,2862000,12163000,7618000,5055000,4292000,11204000,3097000,1822000,1604000,999000,1084000,6281000,6371000,6899000,2338000,2529000,3078000,1119000,1016000,423000,346000,541000,440000,229000,162000,n.a.,n.a.,n.a.,57000,15000,16000,-539000,-570000,-569000,-515000,-462000,-406000,-229000,-164000,-102000,-78000
44,MONDELEZ INTERNATIONAL; INC.,311513,n.a.,4225000,4238000,3954000,4074000,3645000,3588000,3242000,3941000,3530000,n.a.,3555000,3929000,3317000,2828000,1635000,7267000,2184000,3915000,3067000,n.a.,67810000,64515000,62729000,62957000,61538000,62843000,66815000,72515000,75477000,n.a.,3619000,1291000,1100000,761000,1741000,1870000,1631000,2622000,4475000,n.a.,15159000,15322000,16737000,15793000,14417000,10922000,14007000,14354000,14870000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-712000,-674000,-635000,-638000,-647000,-713000,-853000,-860000,-867000
45,KRAFT HEINZ COMPANY (THE),311941,n.a.,2151000,3191000,-9885000,6640000,6593000,2639000,1568000,150000,1503000,n.a.,356000,1935000,-10192000,10941000,3416000,-266000,-63000,-1124000,924000,n.a.,99830000,101450000,103461000,120092000,120480000,122973000,36571000,38972000,n.a.,n.a.,3417000,2279000,1130000,1629000,4204000,4837000,2298000,2459000,n.a.,n.a.,8061000,7875000,7503000,10154000,9501000,6932000,3092000,2925000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-705000,-708000,-693000,-758000,-1070000,-740000,-430000,-231000,-296000
