ID,Company name Latin alphabet,NAICS 2017; primary code(s),"Operating P/L [=EBIT]th USD 2021","Operating P/L [=EBIT]th USD 2020","Operating P/L [=EBIT]th USD 2019","Operating P/L [=EBIT]th USD 2018","Operating P/L [=EBIT]th USD 2017","Operating P/L [=EBIT]th USD 2016","Operating P/L [=EBIT]th USD 2015","Operating P/L [=EBIT]th USD 2014","Operating P/L [=EBIT]th USD 2013","Operating P/L [=EBIT]th USD 2012","P/L for period [=Net income]th USD 2021","P/L for period [=Net income]th USD 2020","P/L for period [=Net income]th USD 2019","P/L for period [=Net income]th USD 2018","P/L for period [=Net income]th USD 2017","P/L for period [=Net income]th USD 2016","P/L for period [=Net income]th USD 2015","P/L for period [=Net income]th USD 2014","P/L for period [=Net income]th USD 2013","P/L for period [=Net income]th USD 2012","Total assetsth USD 2021","Total assetsth USD 2020","Total assetsth USD 2019","Total assetsth USD 2018","Total assetsth USD 2017","Total assetsth USD 2016","Total assetsth USD 2015","Total assetsth USD 2014","Total assetsth USD 2013","Total assetsth USD 2012","Cash & cash equivalentth USD 2021","Cash & cash equivalentth USD 2020","Cash & cash equivalentth USD 2019","Cash & cash equivalentth USD 2018","Cash & cash equivalentth USD 2017","Cash & cash equivalentth USD 2016","Cash & cash equivalentth USD 2015","Cash & cash equivalentth USD 2014","Cash & cash equivalentth USD 2013","Cash & cash equivalentth USD 2012","Total Current Liabilitiesth USD 2021","Total Current Liabilitiesth USD 2020","Total Current Liabilitiesth USD 2019","Total Current Liabilitiesth USD 2018","Total Current Liabilitiesth USD 2017","Total Current Liabilitiesth USD 2016","Total Current Liabilitiesth USD 2015","Total Current Liabilitiesth USD 2014","Total Current Liabilitiesth USD 2013","Total Current Liabilitiesth USD 2012","Income Tax Payableth USD 2021","Income Tax Payableth USD 2020","Income Tax Payableth USD 2019","Income Tax Payableth USD 2018","Income Tax Payableth USD 2017","Income Tax Payableth USD 2016","Income Tax Payableth USD 2015","Income Tax Payableth USD 2014","Income Tax Payableth USD 2013","Income Tax Payableth USD 2012","Depreciationth USD 2021","Depreciationth USD 2020","Depreciationth USD 2019","Depreciationth USD 2018","Depreciationth USD 2017","Depreciationth USD 2016","Depreciationth USD 2015","Depreciationth USD 2014","Depreciationth USD 2013","Depreciationth USD 2012"
287,VALMONT INDUSTRIES INC,332312,n.a.,241922,227905,202280,267080,245374,131695,357716,473069,382296,n.a.,140693,146408,94351,116240,173232,40117,183976,278489,234072,n.a.,2953160,2807216,2530274,2602250,2391731,2392382,2729668,2776494,2568551,n.a.,400726,353542,313210,492805,399948,349074,371579,613706,414129,n.a.,673303,513779,409035,402998,349848,366554,397214,436580,412433,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,-64745,-64177,-67589,-69046,-66482,-72805,-73395,-62291,-55886
288,MARRIOTT VACATIONS WORLDWIDE CORPORATION,721110,n.a.,-67000,465000,313000,250000,199000,243603,206000,190000,136000,n.a.,-275000,138000,55000,235000,122000,122799,81000,80000,7000,n.a.,8898000,9214000,9018000,2845000,2391419,2399718,2530579,2632000,2613000,n.a.,524000,287000,231000,409000,147102,177061,346515,200000,103000,n.a.,862000,1056000,928000,446000,462919,443518,411939,415000,408000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-66000,-82000,-62000,-21000,-21000,-22217,-19000,-23000,-30000
289,HILLENBRAND; INC.,339995,417600,146400,238000,176400,229700,204400,224600,209300,136000,167000,249900,-60100,121400,76600,126200,112800,111400,109700,63400,104800,4014900,3987400,2228600,1864600,1956500,1960900,1808100,1918500,2003200,1087500,446100,302200,399000,56000,66000,52000,48300,58000,42700,20200,1035100,852100,589300,531700,511700,433700,404200,491100,465500,151800,n.a.,n.a.,n.a.,n.a.,0,22800,25400,20700,12100,900,-56100,-55700,-23200,-23400,-25400,-25600,-26200,-26800,-25300,-18700
290,DONALDSON CO INC,333413,390500,340100,388200,377000,323600,274200,288310,355739,343329,363016,286900,257000,267200,180300,232800,190800,208111,260224,247377,264301,2400200,2244600,2142600,1976600,1979700,1787000,1809534,1942411,1743556,1730082,222800,236600,177800,204700,308400,243200,217368,423619,323888,318151,606600,406800,482900,469400,484100,543800,560647,609580,476435,498523,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-87100,-79300,-73500,-71100,-68800,-68800,-66900,-62000,-58787,-55300
291,MOOG INC,336413,238314,176338,266221,247211,216262,222858,228250,244349,206043,243153,157220,9205,174548,95240,141280,126745,131883,158198,120497,152462,3433169,3225831,3114237,2964048,3090592,3004974,3086471,3208452,3237095,3105907,99599,84583,89702,125584,368168,325550,309853,231292,157090,148841,869361,710554,727658,680624,629434,588949,605505,722804,723230,663876,12908,11785,26532,16737,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-76671,-74243,-71926,-71231,-71363,-77407,-78610,-78078,-75000,-67084
292,CRACKER BARREL OLD COUNTRY STORE; INC.,722511,148937,34926,282844,293592,313158,280471,254880,208406,201524,192635,254513,-32475,223401,247620,201899,189299,163903,132128,117265,103081,2391694,2544258,1581225,1527355,1521942,1497664,1576208,1432248,1388306,1418992,144593,436996,36884,114656,161001,150966,265455,119361,121718,151962,465262,451056,392474,364619,375828,368817,445611,344438,316067,319059,48031,31177,38196,37069,36725,37561,39061,0,5624,39704,-108604,-118178,-107537,-93692,-86319,-78223,-72955,-68389,-66120,-64467
293,RESOLUTE FOREST PRODUCTS INC.,322110,n.a.,152000,35000,380000,64000,22000,-214000,29000,76000,46000,n.a.,10000,-47000,235000,-84000,-81000,-257000,-277000,-639000,1000,n.a.,3730000,3626000,3935000,4147000,4277000,4220000,4914000,5385000,6333000,n.a.,113000,3000,304000,6000,35000,58000,337000,322000,263000,n.a.,380000,351000,650000,421000,467000,437000,519000,567000,583000,n.a.,5000,4000,4000,10000,7000,5000,13000,38000,8000,n.a.,-169000,-167000,-212000,-204000,-206000,-237000,-243000,-243000,-233000
294,LCI INDUSTRIES,336214,n.a.,222934,200210,198788,214281,200850,119970,95487,80174,59588,n.a.,158440,146509,148551,132884,129671,74345,62266,50119,37340,n.a.,2298031,1862595,1243893,945858,786904,622856,543841,453184,373868,n.a.,51821,35359,14928,26049,86170,12305,4,66280,9939,n.a.,416394,271258,177582,182013,149351,98862,107185,118191,69780,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0,n.a.,n.a.,n.a.,n.a.,-60107,-51600,-46264,-35154,-28409,-25569,-19892,-17492,-14413
295,H.B. FULLER COMPANY,325520,n.a.,222897,240529,246772,120478,198184,170485,149841,195502,161024,n.a.,123719,130817,171208,59418,121663,86680,49773,96761,125622,n.a.,4036704,3985734,4176314,4373243,2055868,2042252,1869006,1873028,1786320,n.a.,100534,112191,150793,194398,142245,119168,77569,155121,200436,n.a.,530132,542157,546123,504913,391844,349525,317199,360778,350119,n.a.,29173,23229,12578,14335,7985,8970,13761,10830,24865,n.a.,-68226,-67115,-68636,-51072,-49189,-48305,-47254,-39149,-38713
296,LOUISIANA PACIFIC CORP,321219,n.a.,640000,-25000,536400,532800,210200,-63300,-77600,202800,104200,n.a.,499000,-5000,394600,389800,149800,-88100,-75400,177100,28800,n.a.,2086000,1835000,2514100,2448500,2031200,2176300,2348800,2493300,2331000,n.a.,535000,181000,878400,928000,659300,434700,532700,656800,560900,n.a.,286000,244000,261600,270100,228800,143000,172700,166200,239300,n.a.,18000,0,21000,4500,31300,n.a.,n.a.,n.a.,n.a.,n.a.,-111000,-123000,-120000,-123300,-112800,-101900,-100700,-91300,-73400
297,SCHNITZER STEEL INDUSTRIES INC,331492,210731,15013,82778,146374,52230,-1880,-184011,29998,-316455,56044,165112,-4145,56345,156451,44511,-19409,-197009,5924,-281442,27404,1494363,1229927,1160746,1104817,933755,891429,962299,1355210,1405512,1763573,27818,17887,12377,4723,7287,26819,22755,25672,13481,89863,352850,223664,268230,254677,176260,133654,120446,177270,166134,178842,3521,n.a.,n.a.,0,9,0,148,3202,388,38,-58000,-57173,-53000,-49000,-49000,-53630,-66000,-75209,-78070,-77000
298,PAE INCORPORATED,541614,n.a.,90766,-5478,-411,-24,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,28750,1458,1737,-24,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1829370,408957,403669,263,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,85908,245,856,110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,632181,4517,687,262,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,15582,796,462,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-9600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
299,FIRST SOLAR; INC.,334413,n.a.,323489,201215,40113,215032,175711,730159,421999,457303,431538,n.a.,398355,-114933,144326,-165615,-416112,593406,395964,350718,-96338,n.a.,7108931,7515689,7121362,6864501,6824368,7316331,6720991,6883502,6348692,n.a.,1747068,2164247,2547266,2988913,1955146,1830280,1991086,1764174,1003872,n.a.,847398,1318208,845457,650276,907881,960800,1000539,1588061,1101374,n.a.,14571,17010,20885,19581,12562,1330,1727,6707,7700,n.a.,-222125,-195275,-120836,-107013,-220840,-248625,-246400,-237900,-263300
300,IDEXX LABORATORIES INC,541940,n.a.,695124,553946,494435,414128,351539,299912,260255,266762,262563,n.a.,581776,427720,377031,263144,222045,192078,181906,187800,178267,n.a.,2294561,1832475,1537349,1713416,1530704,1474993,1384211,1230516,1103602,n.a.,383928,90326,123794,471930,391850,342585,322536,279058,223986,n.a.,582761,725337,770444,1004567,934568,856761,820906,478353,406333,n.a.,42676,31108,26609,29389,23973,18963,28439,16508,n.a.,n.a.,-86198,-78611,-74278,-74140,-68718,-58556,-49088,-44896,-42608
301,VONTIER CORPORATION,334514,n.a.,473100,569900,503400,507200,473000,386700,n.a.,n.a.,n.a.,n.a.,342000,437000,386500,373800,304700,247700,n.a.,n.a.,n.a.,n.a.,3073000,2828900,3007600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,380500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,838300,667500,693500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,62200,n.a.,20200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-49300,-52700,-55800,-41300,n.a.,n.a.,n.a.,n.a.,n.a.
302,INCYTE CORPORATION,541715,n.a.,-197490,421688,155396,-235683,162420,50651,-4804,-16102,1148,n.a.,-295697,446906,109493,-313142,104222,6531,-48481,-83147,-44320,n.a.,3560918,3426750,2645762,2302582,1638597,1007440,796477,629568,330419,n.a.,1801377,2117554,1438323,1169645,808546,707783,600263,509004,228418,n.a.,631195,513340,425277,375396,273501,168007,221061,108042,136074,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-32200,-33800,-33469,-30678,-45825,-44883,-41413,-29207,-29979
303,EPAM SYSTEMS; INC.,541512,n.a.,379324,302850,245764,172946,133696,105967,86183,76493,66006,n.a.,327160,261057,240256,72760,99266,84456,69641,61994,54484,n.a.,2721332,2244208,1611802,1250256,925811,778536,594026,432877,350814,n.a.,1382150,936552,770560,582585,363751,229630,221010,171400,119955,n.a.,465950,386948,262829,180967,116219,127911,125413,54664,59352,n.a.,20603,9064,67845,40860,25008,29837,25307,14446,15048,n.a.,-50534,-35403,-28539,-21000,-15217,-11979,-12134,-12335,-9858
304,LINCOLN ELECTRIC HOLDINGS INC,333517,n.a.,335734,402739,413161,357126,347459,369294,415724,423422,379754,n.a.,206115,293109,287066,247503,198399,127478,254686,293780,257411,n.a.,2314453,2371213,2349825,2406547,1943437,1784171,1939215,2151867,2089863,n.a.,257279,199563,358849,505826,379179,304183,278379,299825,286464,n.a.,549449,563135,538182,528742,388107,370122,492395,456917,440267,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,16599,n.a.,46109,n.a.,n.a.,-60129,-60732,-56602,-52444,-50548,-50711,-55738,-55541,-54693
305,F5 INC,541511,403525,415367,518463,609325,577065,556428,552899,493557,433211,427053,331241,307441,427734,453689,420761,365855,365014,311183,277314,275186,4997280,4677920,3390275,2605476,2476489,2306323,2312290,2184950,2230554,1911201,910607,1209889,972282,1039412,1016928,882395,774342,645379,542143,532151,1391527,1288279,1105526,954433,934543,844238,755123,636981,551350,466029,44075,33048,31801,17795,15519,21894,12913,7546,4196,8621,-66724,-61257,-58000,-48391,-48848,-42876,-39383,-36621,-35705,-25506
306,STEELCASE INC.,337214,n.a.,71600,257500,183600,156000,205300,194500,186400,176200,93900,n.a.,26100,195800,123500,79200,122200,166900,84500,86300,38200,n.a.,2354000,2565400,2142400,1859200,1792000,1808600,1719600,1726700,1689600,n.a.,489800,541000,261300,283100,270500,266000,244800,321300,250900,n.a.,515000,690900,595200,554700,523400,557500,543700,538200,484800,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-68900,-73200,-69300,-64600,-59300,-63900,-58300,-57900,-55300
307,FORTINET INC,541511,n.a.,527500,347200,231000,110144,46941,22477,59324,72090,98563,n.a.,488500,331700,332200,31399,32187,7987,25343,44273,66836,n.a.,4044500,3879200,3078000,2257916,2139941,1790510,1424774,1168464,975497,n.a.,1837300,2065600,1649600,1251277,1085525,891351,720020,491370,413694,n.a.,1829500,1455800,1256400,1027223,829440,678670,496456,413061,319304,n.a.,n.a.,n.a.,28200,21435,13588,8379,2689,21421,n.a.,n.a.,-55500,-50700,-46700,-46900,-39220,-28400,-20528,-14072,-10564
308,TETRA TECH INC,541330,278701,241091,199113,190086,183342,155403,87684,153833,20218,166367,232810,173859,158668,136883,117874,83783,39074,108266,-2141,104380,2576562,2378558,2147408,1959421,1902745,1800779,1559242,1776404,1799092,1671030,166568,157515,120732,146185,189975,160459,135326,122379,129305,104848,848483,793456,769954,618093,537668,481086,450442,503861,483133,503794,n.a.,n.a.,0,n.a.,n.a.,0,20787,20387,18170,20809,-12305,-13011,-17300,-20436,-22956,-23488,-24001,-54540,-29500,-56902
309,VISTEON CORP,336320,n.a.,66000,113000,231000,277000,242000,184000,109000,20000,203000,n.a.,-56000,70000,164000,176000,75000,2284000,-295000,690000,100000,n.a.,2271000,2271000,2007000,2304000,2373000,4682000,5323000,6027000,5156000,n.a.,496000,466000,463000,706000,878000,2775000,476000,1677000,825000,n.a.,824000,798000,721000,801000,911000,2772000,1832000,1802000,1552000,n.a.,5000,7000,15000,12000,22000,63000,14000,n.a.,16000,n.a.,-90000,-84000,-88000,-84000,-81000,-70000,-56000,-259000,-219000
310,DECKERS OUTDOOR CORP,316210,n.a.,504472,338463,327090,220301,28045,188452,218105,207489,186948,n.a.,382575,276142,264308,114394,5710,122265,161780,143004,128866,n.a.,2167705,1765118,1427206,1264379,1191780,1278068,1169933,1064204,1068064,n.a.,1089361,649436,589692,429970,291764,245956,225143,245088,110247,n.a.,468368,300946,250524,189166,159051,238498,167542,122215,267017,n.a.,36920,11104,19283,11006,2719,6461,6858,2908,25067,n.a.,-37965,-35442,-38706,-40765,-44683,-41174,-38002,-52008,-24055
311,TELEFLEX INC,335314,n.a.,476885,442493,400934,397169,378680,323710,302731,271713,-94338,n.a.,335324,461466,200802,152530,237377,244863,187679,150881,-190057,n.a.,7152559,6309820,6277991,6181492,3891213,3871774,3922787,4209007,3733687,n.a.,375880,301083,357161,333558,543789,338366,303236,431984,337039,n.a.,540027,563055,582456,483876,427646,664120,632769,635120,275300,n.a.,17361,6692,5943,11514,7908,8059,13768,23821,16895,n.a.,-68567,-64088,-60494,-56497,-54415,-46013,-50207,-42368,-36204
312,MIDDLEBY CORP,333318,n.a.,336806,519684,465298,398564,429542,361957,320213,244462,188084,n.a.,207294,352240,317152,298128,284216,191610,193312,153928,120697,n.a.,5202474,5002143,4549781,3339713,2917136,2761151,2066131,1819206,1244280,n.a.,268103,94500,71701,89654,68485,55528,43945,36894,34366,n.a.,700258,593137,558952,473653,488409,510045,328314,311385,242435,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-41532,-39428,-37238,-31174,-28334,-26474,-16652,-43164,-26903
313,VISHAY INTERTECHNOLOGY INC,334412,n.a.,213565,286569,485120,335278,200237,117014,225596,200496,189201,n.a.,122923,163936,345758,-20344,48792,-108514,117629,122980,122738,n.a.,3154473,3120775,3106198,3462089,3077801,3152986,3274151,3237139,3016277,n.a.,778350,802955,764318,1295168,1098408,1094547,1106948,1151579,992538,n.a.,562423,520428,644106,562535,456850,457724,446949,449065,412170,n.a.,20470,17731,54436,50226,19033,22198,14881,17502,7215,n.a.,-158117,-155985,-150056,-148883,-144521,-154340,-160804,-155064,-153801
314,PATRICK INDUSTRIES INC,337110,n.a.,173373,154442,178415,121900,90837,69918,51471,40945,27040,n.a.,97061,89566,119832,85718,55577,42219,30674,24040,28095,n.a.,1753435,1470993,1231231,866644,534950,381584,255561,174187,143469,n.a.,44767,139390,6895,2767,6449,87,123,34,434,n.a.,227389,186935,157755,136425,86093,57926,45142,32411,29152,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,204,n.a.,n.a.,-32300,-26887,-20839,-14167,-10994,-7988,-5956,-4926,-4063
315,GENERAC HOLDINGS INC.,335312,n.a.,479106,372163,357181,250634,204617,179561,288498,351465,223555,n.a.,350576,252007,238257,157808,98788,77747,174613,174539,93223,n.a.,3235423,2665669,2426314,2025965,1861684,1778635,1882542,1798205,1603847,n.a.,655128,322883,224482,138472,67272,115857,189761,150147,108023,n.a.,641524,497064,560706,396423,341939,213224,240522,250845,294859,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-36493,-32265,-25296,-23127,-21465,-16742,-13706,-10955,-8293
316,ITT INC.,333249,n.a.,335800,391200,407400,312500,277300,312700,270300,218600,238100,n.a.,72500,325100,333700,113500,186100,351800,184500,488500,125400,n.a.,4277600,4107700,3846800,3700200,3601700,3723600,3631500,3740200,3386100,n.a.,859800,612100,561200,389800,460700,480600,589400,620200,582700,n.a.,871000,849700,872100,899400,866200,953100,775400,832600,805300,n.a.,36900,27000,33700,36100,31000,30900,28000,29800,32400,n.a.,-91800,-92600,-91800,-86400,-81900,-76000,-77200,-69300,-60900
317,KINGOLD JEWELRY; INC.,339910,n.a.,n.a.,n.a.,252149,185994,133942,29982,65615,44878,45026,n.a.,n.a.,n.a.,49547,26193,92910,21562,47332,28340,32670,n.a.,n.a.,n.a.,2699814,3042345,2262403,469616,311754,301096,172784,n.a.,n.a.,n.a.,1593791,1567940,303229,3101,1332,2285,2544,n.a.,n.a.,n.a.,1148455,1294860,293116,171372,49843,57191,11244,n.a.,n.a.,n.a.,18504,1209,0,1120,979,3270,2588,n.a.,n.a.,n.a.,-1715,-1638,-1404,-1388,-1427,-1433,-1402
318,ALIGN TECHNOLOGY INC,339114,n.a.,387171,485993,466564,353611,248921,188634,193576,94212,85592,n.a.,1775888,442776,400235,231418,189682,144020,145832,64295,58691,n.a.,4829683,2500702,2052458,1784009,1396151,1158633,987997,832147,756312,n.a.,960843,868627,735359,721542,640256,527295,454658,369993,334871,n.a.,1325601,970970,692073,500051,354335,271672,201811,175338,155771,n.a.,30130,14130,5752,12405,4210,2646,2027,1205,572,n.a.,-80138,-73090,-48727,-37739,-24002,-18004,-17856,-13887,-13440
319,MILLERKNOLL INC,337127,233300,-12000,213700,183200,203300,211500,176100,800,116100,143000,173100,-9100,160500,128100,123900,136700,97500,-22100,68200,75200,2061900,2053900,1569300,1479500,1306300,1235200,1192700,990900,946500,839100,404100,461000,168000,212500,104800,92400,69400,112600,93500,181800,500800,470200,446100,413800,385700,390000,363400,356100,290000,253700,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2400,-72000,-68100,-65900,-60900,-52900,-47000,-44200,-37800,-34400,-34400
320,FTI CONSULTING INC,541611,n.a.,289766,305595,226005,151887,154660,163311,162089,108984,85529,n.a.,210682,216726,150611,107962,85520,66053,58807,-10594,-36986,n.a.,2777363,2783142,2379121,2257241,2225368,2229018,2391599,2364947,2275452,n.a.,294953,369373,312069,189961,216158,149760,283680,205833,156785,n.a.,670171,612537,482570,410328,378455,347077,367092,384330,304197,n.a.,14719,35895,13119,12075,9231,17309,12191,9323,11114,n.a.,-32661,-30153,-31536,-31177,-38700,-31392,-35126,-32638,-33919
321,TEXAS ROADHOUSE; INC.,722511,n.a.,23844,212023,187789,186206,171900,144565,130449,119715,110458,n.a.,31255,174452,158225,131526,115598,96894,87022,80423,71170,n.a.,2325161,1983565,1469276,1330623,1179971,1032706,943142,877644,791254,n.a.,363155,107879,210125,150918,112944,59334,86122,94874,81746,n.a.,506318,417220,385142,329998,279527,256642,215971,175852,158662,n.a.,2859,n.a.,0,2494,0,90,1583,0,n.a.,n.a.,-117314,-114819,-100475,-92577,-81759,-68318,-57506,-49938,-45641
322,MUELLER INDUSTRIES INC,331420,n.a.,223785,188474,168736,156984,154401,125043,155858,125128,124524,n.a.,139493,100972,104459,85598,99727,87864,101560,172600,82395,n.a.,1528568,1370940,1369549,1320173,1447476,1338801,1328096,1247767,1104155,n.a.,119075,97944,72616,120269,351317,274844,352134,311800,198934,n.a.,339643,234287,232801,242252,218992,209429,238069,219256,258696,n.a.,6300,4700,5000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-38715,-37337,-35118,-30800,-30827,-30556,-30205,-30946,-30326
323,CURTISS WRIGHT CORP,336320,n.a.,320543,401881,380269,324774,308029,321659,289253,237123,189817,n.a.,201392,307583,275749,214891,187329,145461,113338,137981,113844,n.a.,4021334,3764261,3255385,3236321,3037781,2989611,3399511,3458274,3114588,n.a.,198248,391033,276066,475120,553848,288697,450116,175294,112023,n.a.,810377,744731,687328,590997,675262,523225,571993,534593,639748,n.a.,6633,7670,5811,4564,18274,7956,24920,3964,9552,n.a.,-55303,-57412,-59400,-61600,-62608,-100810,-118931,-121497,-93896
324,COOPER-STANDARD HOLDINGS INC.,336320,n.a.,-232038,17611,140046,301304,293135,221688,181922,163861,132095,n.a.,-267605,67529,103601,137971,138988,111880,42779,42778,96040,n.a.,2611944,2635582,2624145,2725648,2491702,2304292,2125630,2102754,2025977,n.a.,438438,359536,264980,515952,480092,378243,267270,184370,270555,n.a.,671280,719925,820418,826957,759342,681420,528044,570171,486916,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-142618,-133987,-131854,-124032,-109094,-100535,-96143,-95597,-107275
325,WATERS CORP,334516,n.a.,676776,713301,746137,681364,639847,571390,523908,517343,518924,n.a.,521571,592198,593794,20311,521503,469053,431620,450003,461443,n.a.,2839920,2557055,3727426,5324354,4662059,4268677,3874690,3582629,3168150,n.a.,443146,337144,1735224,3393701,2813032,2399263,2055388,1803670,1539025,n.a.,804983,591334,448931,606157,520321,564076,580486,487532,504242,n.a.,76558,45967,22943,73008,15244,14894,15143,19770,60888,n.a.,-68685,-53839,-57952,-61450,-51684,-45287,-46393,-38165,-37422
326,IDEX CORP,333914,n.a.,529402,589892,581171,501738,438369,430159,444896,395513,160691,n.a.,377778,425521,410573,337257,271109,282807,279386,255215,37630,n.a.,4414398,3813912,3473857,3399628,3154944,2805443,2903463,2887577,2785390,n.a.,1025851,632581,466407,375950,235964,328018,509137,439629,318864,n.a.,399058,357877,364661,360975,309158,309597,411968,304609,291427,n.a.,13453,9905,23844,28033,8808,3836,9305,11746,10284,n.a.,-41651,-39543,-39049,-38314,-37854,-35694,-33720,-35007,-36827
327,SUMMIT MATERIALS; INC.,327320,n.a.,225173,215780,166704,228610,161459,144543,78513,-43987,17403,n.a.,137967,59066,33906,121830,36783,27718,-8777,-106791,-52496,n.a.,4308011,4067556,3857641,3787333,2781466,2396179,1729777,1251060,1284479,n.a.,418181,311319,128508,383556,143392,186405,13215,18183,30697,n.a.,322689,299297,260657,249975,239288,214504,212985,179473,131907,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-225117,-220762,-207272,-191807,-158033,-122819,-94311,-75127,-71579
328,MKS INSTRUMENTS INC,334513,n.a.,465800,264096,501844,419302,185157,158716,138004,59066,82746,n.a.,350100,140386,392896,339132,104809,122297,115778,35776,48029,n.a.,3903800,3416320,2614246,2414018,2212242,1273347,1224044,1213018,1152562,n.a.,836000,523989,718171,543202,418086,658237,435031,589617,615241,n.a.,373900,317681,263285,289822,237300,90984,103627,128422,79311,n.a.,18300,15448,16358,21398,22794,4024,6702,10444,4148,n.a.,-44000,-42632,-36332,-36813,-30245,-15339,-15569,-14963,-13406
329,ARISTA NETWORKS; INC.,334419,n.a.,699684,805774,678347,470272,243409,149308,125513,66148,39897,n.a.,634557,859867,328115,423201,184189,121102,86850,42460,21349,n.a.,4738919,4185290,3081983,2460860,1729007,1159890,811023,364520,219127,n.a.,2872868,2724368,1956147,1535555,867833,687326,449457,113664,88655,n.a.,768243,597074,606504,529905,459553,235011,144373,209344,46364,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-20490,-19449,-22571,-20640,-19749,-13671,-10021,-5044,-1800
330,ENVISTA HOLDINGS CORPORATION,339114,n.a.,168700,277500,298400,386600,402800,350000,301000,n.a.,n.a.,n.a.,33300,217600,230700,301100,272000,275500,203800,n.a.,n.a.,n.a.,6876000,6158300,5841600,5992800,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,888900,211200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1684700,709200,641000,628200,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,48800,23500,6300,22800,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-42400,-39000,-39400,-39700,-43800,n.a.,n.a.,n.a.,n.a.
331,GRIFFON CORP,332216,192001,153209,108506,100398,76651,82340,66912,84300,77116,77109,79211,53429,37287,125678,14912,30010,34289,-177,3767,17011,2604685,2448593,2074939,2084890,1873541,1782096,1712813,1808826,1788779,1806192,248653,218089,72377,69758,47681,72553,52001,92405,178130,209654,531636,441822,390099,393071,371079,318263,319837,333428,284409,273383,11264,14369,7814,8016,6291,13226,8312,6446,n.a.,6922,-42741,-42614,-42124,-46733,-41220,-39734,-39121,-59488,-62911,-50168
332,CALUMET SPECIALTY PRODUCTS PARTNERS; L.P,324110,n.a.,-72900,85000,118100,-78000,-300,157200,46800,91600,285928,n.a.,-149000,-43600,-55100,-103800,-328600,-139400,-112200,3500,205737,n.a.,1808300,1857800,2087500,2688800,2725200,2944700,3085100,2688100,2253000,n.a.,109400,19100,155700,164300,4200,5600,8500,121100,32200,n.a.,544500,565000,415100,925700,498200,626600,543500,500400,475400,n.a.,9500,11800,15200,16100,20400,17900,17900,16700,41300,n.a.,-90800,-93300,-98300,-130200,-125100,-93200,-98300,-92200,-74767
333,VIASAT INC,334220,n.a.,58233,38421,-60620,-92187,36459,41119,3299,n.a.,-20362,n.a.,3691,-212,-67623,-67305,23767,21741,-9446,n.a.,-41172,n.a.,5349467,4883868,3915287,3414109,2954653,2397312,1960115,n.a.,1794072,n.a.,295949,304309,261701,71446,130098,42088,58347,n.a.,105738,n.a.,708437,604579,485480,466457,325517,279989,274826,n.a.,247148,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-330861,-279733,-262289,-210441,-200686,-193086,-159089,n.a.,-134133
