ID,Company name Latin alphabet,NAICS 2017; primary code(s),Operating P/L [=EBIT]; th USD 2021,Operating P/L [=EBIT]; th USD 2020,Operating P/L [=EBIT]; th USD 2019,Operating P/L [=EBIT]; th USD 2018,Operating P/L [=EBIT]; th USD 2017,Operating P/L [=EBIT]; th USD 2016,Operating P/L [=EBIT]; th USD 2015,Operating P/L [=EBIT]; th USD 2014,Operating P/L [=EBIT]; th USD 2013,Operating P/L [=EBIT]; th USD 2012,P/L for period [=Net income]; th USD 2021,P/L for period [=Net income]; th USD 2020,P/L for period [=Net income]; th USD 2019,P/L for period [=Net income]; th USD 2018,P/L for period [=Net income]; th USD 2017,P/L for period [=Net income]; th USD 2016,P/L for period [=Net income]; th USD 2015,P/L for period [=Net income]; th USD 2014,P/L for period [=Net income]; th USD 2013,P/L for period [=Net income]; th USD 2012,Total assets; th USD 2021,Total assets; th USD 2020,Total assets; th USD 2019,Total assets; th USD 2018,Total assets; th USD 2017,Total assets; th USD 2016,Total assets; th USD 2015,Total assets; th USD 2014,Total assets; th USD 2013,Total assets; th USD 2012,Cash & cash equivalent; th USD 2021,Cash & cash equivalent; th USD 2020,Cash & cash equivalent; th USD 2019,Cash & cash equivalent; th USD 2018,Cash & cash equivalent; th USD 2017,Cash & cash equivalent; th USD 2016,Cash & cash equivalent; th USD 2015,Cash & cash equivalent; th USD 2014,Cash & cash equivalent; th USD 2013,Cash & cash equivalent; th USD 2012,Total Liabilities and Debt; th USD 2021,Total Liabilities and Debt; th USD 2020,Total Liabilities and Debt; th USD 2019,Total Liabilities and Debt; th USD 2018,Total Liabilities and Debt; th USD 2017,Total Liabilities and Debt; th USD 2016,Total Liabilities and Debt; th USD 2015,Total Liabilities and Debt; th USD 2014,Total Liabilities and Debt; th USD 2013,Total Liabilities and Debt; th USD 2012,Total Current Liabilities; th USD 2021,Total Current Liabilities; th USD 2020,Total Current Liabilities; th USD 2019,Total Current Liabilities; th USD 2018,Total Current Liabilities; th USD 2017,Total Current Liabilities; th USD 2016,Total Current Liabilities; th USD 2015,Total Current Liabilities; th USD 2014,Total Current Liabilities; th USD 2013,Total Current Liabilities; th USD 2012,Income Tax Payable; th USD 2021,Income Tax Payable; th USD 2020,Income Tax Payable; th USD 2019,Income Tax Payable; th USD 2018,Income Tax Payable; th USD 2017,Income Tax Payable; th USD 2016,Income Tax Payable; th USD 2015,Income Tax Payable; th USD 2014,Income Tax Payable; th USD 2013,Income Tax Payable; th USD 2012,Depreciation; th USD 2021,Depreciation; th USD 2020,Depreciation; th USD 2019,Depreciation; th USD 2018,Depreciation; th USD 2017,Depreciation; th USD 2016,Depreciation; th USD 2015,Depreciation; th USD 2014,Depreciation; th USD 2013,Depreciation; th USD 2012
2263.,AQUABOUNTY TECHNOLOGIES; INC.,325414,n.a.,-16247.83,-13178.64,-10365.8,-9232.1,-8065.05,-7028.49,-7135.28,-4875.49,-4311.8,n.a.,-16399.99,-13227.64,-10382.06,-9258.65,-8470.66,-7031.51,-7127.38,-4689.04,-4414.61,n.a.,125776.5,30233.74,27671.06,23731.76,5708.83,2636.7,6608.26,3560.57,1961.61,n.a.,95751.16,2798.74,3002.56,506.28,3335.28,1323.76,5175.62,1889.18,362.93,n.a.,10901.34,6473.11,4436.76,5751.07,3680.78,2692.28,3098.88,3063.68,2741.32,n.a.,2082.53,1688.25,916.94,2716.65,1035.76,621.91,677.16,704.03,706.41,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1494.6,-1285.9,-829.68,-171.24,-140.65,-104.84,-140.74,-144.13,-189.9
2264.,ORGANIC AGRICULTURAL COMPANY LIMITED,111160,n.a.,-215.85,-505.12,-828,15.19,218.27,n.a.,n.a.,n.a.,n.a.,n.a.,-931.54,-474.54,-903.9,-46.68,97.1,n.a.,n.a.,n.a.,n.a.,n.a.,233.65,2934.75,950.6,1809.19,1111.63,n.a.,n.a.,n.a.,n.a.,n.a.,70.51,242.17,12.95,458.69,0.04,n.a.,n.a.,n.a.,n.a.,n.a.,360.46,2052.88,385.31,1592.19,806.78,n.a.,n.a.,n.a.,n.a.,n.a.,360.46,604.3,381.55,1102.19,692.75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4.7,-4.08,-3.14,0,n.a.,n.a.,n.a.,n.a.,n.a.
2265.,AUSTRALIAN CANADIAN OIL ROYALTIES LTD,533110,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2266.,RIGHTSMILE INC,541511,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2267.,ADVANCED BIOMEDICAL TECHNOLOGIES; INC.,339112,n.a.,-446.63,-604.74,-634.02,-403.61,-461.33,-605.19,-617.75,-718.74,-637.77,n.a.,-672,-948.82,-953.32,-691.6,-724.74,-862.85,-827.76,-890.34,-758.53,n.a.,469.23,218.5,142.4,85.45,100.71,165.83,217.61,197.19,214.01,n.a.,201.66,5.59,6.86,7.46,6.56,38.3,74.35,48.38,49.09,n.a.,7871.02,6696.74,5761.42,5080.47,4463.01,4627.32,3956.15,3131.64,2440.21,n.a.,7864,6696.74,5761.42,5080.47,4463.01,4627.32,3956.15,3131.64,2440.21,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-17.03,-21.15,-16.3,-13.6,-29.59,-30.45,-26.64,-26.2,-23.32
2268.,SINO UNITED WORLDWIDE CONSOLIDATED LTD.,325199,n.a.,24.24,7.53,5.67,-155.45,-209.35,130.44,-13.68,-479.24,38.25,n.a.,16.37,-5.74,-0.32,-799.51,-314,-132.39,-72.78,-480.56,-44.42,n.a.,314.39,168.44,45.88,65.04,2240.99,1957.61,3000.7,3338.34,2359.96,n.a.,55.26,13.44,25.88,50.04,3.02,718.18,718.66,138.74,128.66,n.a.,382.58,253,124.71,143.55,1857.79,1389.34,2326.91,2712.08,2065.35,n.a.,382.58,253,124.71,143.55,1424.33,1027.59,1820.29,1958.37,1507.74,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,25.2,4.95,1.63,3.69,n.a.,-0.05,n.a.,n.a.,n.a.,n.a.,-5.1,-9.16,-6,-12.45
2269.,AURA SYSTEMS INC,335312,n.a.,-1522.58,-1036.78,-4215.68,-5906.01,-3556.56,-3365.48,-9077.88,-8985.72,-13501.23,n.a.,842.53,-2606.87,-2502.43,1700.65,-7731.33,-6604.97,-12287.25,-12724.16,-15147.85,n.a.,1942.59,111.33,668.06,1040.17,262.26,130.79,255.49,1495.6,3090.34,n.a.,390.7,19.81,358.21,748.01,255.87,22.18,34.86,40.93,89.2,n.a.,21692.34,23414.27,22262.76,25705.67,53068.65,45300.84,38820.58,32765.61,24688.62,n.a.,16082.54,19011.3,17625.93,21472.69,53068.65,41373.49,35447.2,29402.01,23590.68,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.74,n.a.,n.a.,n.a.,0,-0.95,-7.01,-32.52,-157.67
2270.,BENCHMARK ENERGY CORP.,325199,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2271.,LAMPERD LESS LETHAL INC.,332992,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-53.46664289,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-53.57717344,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,386.6459222,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,446.0108773,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,446.0108773,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0
2272.,TONNER-ONE WORLD HOLDINGS; INC.,541620,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4195.92,-3354.42,-1178.66,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-6935.93,-6848.92,-1258.27,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,428.77,624.58,789.77,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.6,6.46,2.15,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6388.64,4200.63,1303.13,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,6378.84,4191.52,1260.37,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-14,-3.5,n.a.
