ID,Company name Latin alphabet,NAICS 2017; primary code(s),Operating P/L [=EBIT]; th USD 2021,Operating P/L [=EBIT]; th USD 2020,Operating P/L [=EBIT]; th USD 2019,Operating P/L [=EBIT]; th USD 2018,Operating P/L [=EBIT]; th USD 2017,Operating P/L [=EBIT]; th USD 2016,Operating P/L [=EBIT]; th USD 2015,Operating P/L [=EBIT]; th USD 2014,Operating P/L [=EBIT]; th USD 2013,Operating P/L [=EBIT]; th USD 2012,P/L for period [=Net income]; th USD 2021,P/L for period [=Net income]; th USD 2020,P/L for period [=Net income]; th USD 2019,P/L for period [=Net income]; th USD 2018,P/L for period [=Net income]; th USD 2017,P/L for period [=Net income]; th USD 2016,P/L for period [=Net income]; th USD 2015,P/L for period [=Net income]; th USD 2014,P/L for period [=Net income]; th USD 2013,P/L for period [=Net income]; th USD 2012,Total assets; th USD 2021,Total assets; th USD 2020,Total assets; th USD 2019,Total assets; th USD 2018,Total assets; th USD 2017,Total assets; th USD 2016,Total assets; th USD 2015,Total assets; th USD 2014,Total assets; th USD 2013,Total assets; th USD 2012,Cash & cash equivalent; th USD 2021,Cash & cash equivalent; th USD 2020,Cash & cash equivalent; th USD 2019,Cash & cash equivalent; th USD 2018,Cash & cash equivalent; th USD 2017,Cash & cash equivalent; th USD 2016,Cash & cash equivalent; th USD 2015,Cash & cash equivalent; th USD 2014,Cash & cash equivalent; th USD 2013,Cash & cash equivalent; th USD 2012,Total Liabilities and Debt; th USD 2021,Total Liabilities and Debt; th USD 2020,Total Liabilities and Debt; th USD 2019,Total Liabilities and Debt; th USD 2018,Total Liabilities and Debt; th USD 2017,Total Liabilities and Debt; th USD 2016,Total Liabilities and Debt; th USD 2015,Total Liabilities and Debt; th USD 2014,Total Liabilities and Debt; th USD 2013,Total Liabilities and Debt; th USD 2012,Total Current Liabilities; th USD 2021,Total Current Liabilities; th USD 2020,Total Current Liabilities; th USD 2019,Total Current Liabilities; th USD 2018,Total Current Liabilities; th USD 2017,Total Current Liabilities; th USD 2016,Total Current Liabilities; th USD 2015,Total Current Liabilities; th USD 2014,Total Current Liabilities; th USD 2013,Total Current Liabilities; th USD 2012,Income Tax Payable; th USD 2021,Income Tax Payable; th USD 2020,Income Tax Payable; th USD 2019,Income Tax Payable; th USD 2018,Income Tax Payable; th USD 2017,Income Tax Payable; th USD 2016,Income Tax Payable; th USD 2015,Income Tax Payable; th USD 2014,Income Tax Payable; th USD 2013,Income Tax Payable; th USD 2012,Depreciation; th USD 2021,Depreciation; th USD 2020,Depreciation; th USD 2019,Depreciation; th USD 2018,Depreciation; th USD 2017,Depreciation; th USD 2016,Depreciation; th USD 2015,Depreciation; th USD 2014,Depreciation; th USD 2013,Depreciation; th USD 2012
1.,WALMART INC.,445110,n.a.,26948000,20568000,21957000,20437000,22764000,24105000,27147000,26872000,27725000,n.a.,13510000,14881000,6670000,9862000,13643000,14694000,16363000,16022000,16999000,n.a.,252496000,236495000,219295000,204522000,198825000,199581000,203490000,204751000,203105000,n.a.,17741000,9465000,7722000,6456000,6602000,8343000,9135000,6627000,7066000,n.a.,171571000,161826000,146799000,126653000,121027000,119035000,122096000,128496000,126762000,n.a.,92645000,77790000,77477000,78521000,66928000,64619000,65253000,69345000,71818000,n.a.,242000,280000,428000,645000,921000,521000,1021000,966000,2211000,n.a.,-11200000,-11000000,-10700000,-10529000,-10080000,-9454000,-9173000,-8870000,-8501000
2.,AMAZON.COM; INC.,451211,n.a.,22899000,14541000,12421000,4106000,4186000,2233000,178000,745000,676000,n.a.,21331000,11588000,10073000,3033000,2371000,596000,-241000,274000,-39000,n.a.,321195000,225248000,162648000,131310000,83402000,64747000,54505000,40159000,32555000,n.a.,84396000,55021000,41250000,30986000,25981000,19808000,17416000,12447000,11448000,n.a.,227791000,163188000,119099000,103601000,64117000,51363000,43764000,30413000,24363000,n.a.,126385000,87812000,68391000,57883000,43816000,33887000,28089000,22980000,19002000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-16200000,-15150000,-12138000,-2312000,-6400000,-4900000,-3600000,-2500000,-1700000
3.,APPLE INC.,334220,108949000,66288000,63930000,70898000,61344000,60024000,71230000,52503000,48999000,55241000,94680000,57411000,55256000,59531000,48351000,45687000,53394000,39510000,37037000,41733000,351002000,323888000,338516000,365725000,375319000,321686000,290345000,231839000,207000000,176064000,62639000,90943000,100557000,66301000,74181000,67155000,41601000,25077000,40546000,29129000,287912000,258549000,248028000,258578000,241272000,193437000,170990000,120292000,83451000,57854000,125481000,105392000,105718000,115929000,100814000,79006000,80610000,63448000,43658000,38542000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1209000,1200000,1535000,-11284000,-11056000,-12547000,-10903000,-8200000,-8300000,-9200000,-6900000,-5800000,-2600000
4.,CVS HEALTH CORPORATION,446110,n.a.,13974000,12467000,4021000,9538000,10386000,9454000,8799000,8037000,7210000,n.a.,7179000,6629000,-597000,6598000,5290000,5237000,4644000,4592000,3864000,n.a.,230715000,222449000,196456000,95131000,94462000,92437000,74187000,71526000,66221000,n.a.,10854000,8056000,6581000,1807000,3458000,2547000,2515000,4177000,1380000,n.a.,161326000,158585000,138231000,57440000,57632000,55241000,36229000,33588000,28568000,n.a.,62017000,53303000,44009000,30648000,26250000,23169000,19027000,15425000,14150000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2141000,-1971000,-1718000,-1700000,-1700000,-1500000,-1413000,-1400000,-1300000
5.,COSTCO WHOLESALE CORP,452311,7223000,6107000,4737000,4480000,4111000,3672000,3624000,3220000,3053000,2759000,5007000,4002000,3659000,3134000,2679000,2350000,2377000,2058000,2039000,1709000,59268000,55556000,45400000,40830000,36347000,33163000,33017000,33024000,30283000,27140000,12175000,13305000,9444000,7259000,5779000,4729000,6419000,7315000,6124000,4854000,41704000,37272000,30157000,28031000,25569000,21084000,22400000,20721000,19450000,14779000,29441000,24844000,23237000,19926000,17495000,15575000,16539000,14412000,13257000,12260000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1781000,-1645000,-1492000,-1437000,-1370000,-1255000,-1127000,-1029000,-946000,-908000
6.,EXXON MOBIL CORP,324110,n.a.,-30653000,11664000,20839000,12074000,936000,12883000,34082000,40301000,49881000,n.a.,-22440000,14340000,20840000,19710000,7840000,16150000,32520000,32580000,44880000,n.a.,332750000,362597000,346196000,348691000,330314000,336758000,349493000,346808000,333795000,n.a.,4364000,3089000,3042000,3177000,3657000,3705000,4616000,4644000,9582000,n.a.,175600000,170947000,154402000,161003000,162989000,165947000,175094000,172805000,167932000,n.a.,56363000,63989000,57138000,57771000,47638000,53976000,64633000,71724000,64139000,n.a.,684000,1580000,2612000,3045000,2615000,2802000,4938000,7831000,9758000,n.a.,-20098000,-18998000,-18745000,-19893000,-22308000,-18048000,-17297000,-17182000,-15888000
7.,WALGREENS BOOTS ALLIANCE; INC.;,446110,3938000,1638000,5257000,6701000,6636000,6518000,4353000,3577000,3596000,3464000,2542000,457000,3982000,5024000,4078000,4173000,4220000,1932000,2548000,2127000,81285000,87174000,67598000,68124000,66009000,72688000,68782000,37250000,35481000,33462000,1193000,516000,1023000,785000,3301000,9807000,3000000,2646000,2106000,1297000,57866000,66536000,44087000,42117000,38543000,42808000,37921000,16737000,16027000,15226000,22054000,27070000,25769000,21667000,18547000,17013000,16557000,8895000,8883000,8722000,94000,110000,216000,273000,329000,206000,176000,105000,101000,0,-1450000,-1543000,-1565000,-1400000,-1300000,-1322000,-1300000,-1034000,-994000,-911000
8.,KROGER CO,445110,n.a.,2780000,2251000,2614000,2612000,3452000,3576000,3137000,2725000,2764000,n.a.,2585000,1659000,3110000,1907000,1975000,2039000,1728000,1519000,1497000,n.a.,48662000,45256000,38118000,37197000,36505000,33897000,30497000,29281000,24634000,n.a.,1687000,399000,429000,347000,322000,277000,268000,401000,238000,n.a.,39086000,36654000,30232000,30266000,29807000,27077000,25085000,23897000,20427000,n.a.,15366000,14243000,14274000,14197000,12860000,12971000,11403000,10705000,11061000,n.a.,n.a.,n.a.,n.a.,0,251000,221000,287000,340000,288000,n.a.,-2680000,-2564000,-2385000,-2377000,-2277000,-2038000,-1948000,-1703000,-1652000
9.,HOME DEPOT INC,444110,n.a.,20278000,15843000,15530000,14681000,13427000,11774000,10469000,9166000,7766000,n.a.,12866000,11242000,11121000,8630000,7957000,7009000,6345000,5385000,4535000,n.a.,70581000,51236000,44003000,44529000,42966000,41973000,39946000,40518000,41084000,n.a.,7895000,2133000,1778000,3595000,2538000,2216000,1723000,1929000,2494000,n.a.,67282000,54352000,45881000,43075000,38633000,35657000,30624000,27996000,23307000,n.a.,23166000,18375000,16716000,16194000,14133000,12524000,11269000,10749000,11462000,n.a.,193000,55000,11000,54000,25000,34000,36000,14000,24000,n.a.,-2519000,-2296000,-2152000,-2062000,-1973000,-1863000,-1786000,-1757000,-1684000
10.,FORD MOTOR CO,336111,n.a.,-4408000,530000,3205000,4882000,5786000,6981000,332000,12809000,5799000,n.a.,-1279000,47000,3677000,7731000,4589000,7373000,1231000,11953000,5613000,n.a.,267261000,258537000,256540000,258496000,237951000,224925000,208615000,202179000,189406000,n.a.,49961000,34651000,33951000,38927000,38827000,35176000,31150000,36568000,35943000,n.a.,236571000,225352000,220608000,222918000,208781000,196283000,184177000,176067000,173459000,n.a.,97192000,98132000,95569000,94600000,90281000,81014000,76745000,73804000,73041000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-8751000,-9689000,-9280000,-9122000,-9023000,-7993000,-7385000,-6504000,-5486000
11.,GENERAL MOTORS COMPANY,336111,n.a.,9534000,5481000,4445000,8661000,8686000,5538000,1530000,5131000,-30363000,n.a.,6247000,6581000,7916000,-3880000,9427000,9687000,2804000,3770000,4859000,n.a.,235194000,228037000,227339000,212482000,221690000,194338000,177501000,166344000,149422000,n.a.,29038000,23243000,26810000,23825000,24415000,23401000,28176000,28993000,27410000,n.a.,190164000,186245000,188479000,177481000,177854000,154467000,142044000,123737000,113178000,n.a.,79910000,84905000,82237000,76890000,85181000,71217000,65657000,62412000,53992000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-12532000,-13858000,-12895000,-11689000,-9361000,-7163000,-6562000,-4627000,-4115000
12.,CHEVRON CORPORATION,324110,n.a.,-4545000,2093000,15451000,5206000,-4320000,-146000,23600000,27726000,39492000,n.a.,-5543000,2924000,14824000,9195000,-497000,4587000,19241000,21423000,26179000,n.a.,239790000,237428000,253863000,253806000,260078000,264540000,266026000,253753000,232982000,n.a.,5627000,5749000,10345000,4822000,7001000,11332000,13215000,16516000,21913000,n.a.,108102000,93215000,99309000,105682000,114522000,111824000,110998000,104640000,96458000,n.a.,22183000,26530000,27171000,27737000,31785000,25467000,31926000,33018000,34212000,n.a.,1873000,2556000,2565000,2713000,2077000,2191000,3808000,4427000,5571000,n.a.,-19508000,-29218000,-19419000,-19349000,-19457000,-21037000,-16793000,-14186000,-13413000
13.,TARGET CORP,452210,n.a.,6765000,4658000,4110000,4224000,4864000,5530000,4535000,5170000,5740000,n.a.,4368000,3281000,2937000,2914000,2734000,3363000,-1636000,1971000,2999000,n.a.,51248000,42779000,41290000,40303000,37431000,40262000,41172000,44553000,48163000,n.a.,8511000,2577000,1556000,2643000,2512000,4046000,2210000,670000,784000,n.a.,36808000,30946000,29993000,28652000,26478000,27305000,27175000,28322000,31605000,n.a.,20125000,14487000,15014000,13052000,12708000,12622000,11736000,12777000,14031000,n.a.,473000,n.a.,n.a.,n.a.,158000,502000,26000,216000,272000,n.a.,-2500000,-2591000,-2460000,-2462000,-2305000,-2191000,-2108000,-1976000,-2028000
14.,LOWE'S COMPANIES; INC.,444110,n.a.,9682000,6331000,4597000,6586000,5846000,4971000,4792000,4149000,3560000,n.a.,5835000,4281000,2314000,3447000,3093000,2546000,2698000,2286000,1959000,n.a.,46735000,39471000,34508000,35291000,34408000,31266000,31721000,32732000,32666000,n.a.,4690000,716000,511000,604000,577000,478000,492000,755000,666000,n.a.,45298000,37499000,30864000,29418000,27974000,23612000,21753000,20879000,18809000,n.a.,18730000,15182000,14497000,12096000,11974000,10492000,9348000,8876000,7708000,n.a.,168000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1594000,-1410000,-1607000,-1540000,-1590000,-1587000,-1586000,-1562000,-1623000
15.,JOHNSON & JOHNSON,325412,n.a.,21334000,17711000,19093000,18982000,20900000,20242000,21034000,16492400,15981000,n.a.,14714000,15119000,15297000,1300000,16540000,15409000,16323000,13831000,10853000,n.a.,174894000,157728000,152954000,157303000,141208000,133411000,131119000,132683000,121347000,n.a.,25185000,19287000,19687000,18296000,41907000,38376000,33089000,29206000,21089000,n.a.,111616000,98257000,93202000,97143000,70790000,62261000,61367000,58630000,56521000,n.a.,42493000,35964000,31230000,30537000,26287000,27747000,25085000,25675000,24262000,n.a.,1392000,2266000,818000,1854000,971000,750000,500000,770000,1064000,n.a.,-2600000,-2509000,-2529000,-2642000,-2554000,-2546000,-2497000,-2741000,-3666000
16.,GENERAL ELECTRIC COMPANY,336412,n.a.,-1405000,4867000,-15971000,-6494000,9892000,8721000,10570000,6842000,15629000,n.a.,5230000,-5439000,-22801000,-8920000,6844000,-6144000,15233000,13058000,13641000,n.a.,256211000,265177000,311072000,369245000,365183000,493071000,654954000,656560000,684999000,n.a.,43849000,45699000,31124000,43967000,48129000,70483000,70025000,88555000,77268000,n.a.,220660000,236861000,280091000,313213000,289356000,394798000,526796000,525994000,561973000,n.a.,54613000,78865000,116038000,138215000,130577000,154385000,155613000,182835000,200914000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-4636000,-4026000,-4419000,-4332000,-4997000,-4847000,-4953000,-5202000,-9192000
17.,INTEL CORP,334413,n.a.,23802000,22428000,23244000,18394000,14848000,14356000,15612000,12492000,14638000,n.a.,20899000,21048000,21053000,9601000,10316000,11420000,11704000,9620000,11005000,n.a.,153091000,136524000,127963000,123249000,113327000,101459000,91900000,92358000,84351000,n.a.,23895000,13123000,11650000,14002000,17099000,25313000,14054000,20087000,18162000,n.a.,72053000,58865000,52981000,53364000,46219000,39477000,36035000,34102000,33148000,n.a.,24754000,22310000,16626000,17421000,20302000,15646000,16011000,13568000,12898000,n.a.,756000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10482000,-9204000,-7520000,-6752000,-6266000,-7821000,-7380000,-6790000,-6357000
18.,PROCTER & GAMBLE CO,325611,18296000,16465000,6385000,14540000,14685000,14361000,14029000,13910000,13817000,13292000,14035000,12764000,3634000,9485000,15079000,10253000,6777000,11390000,11068000,10500000,119307000,120700000,115095000,118310000,120406000,127136000,129495000,144266000,139263000,132244000,10288000,16181000,10287000,11850000,15137000,13348000,11603000,10686000,5947000,4436000,72929000,74179000,67901000,66017000,65222000,69795000,67076000,75052000,71199000,68805000,33132000,32976000,30011000,28237000,30210000,30770000,29790000,33726000,30037000,24907000,n.a.,n.a.,341000,268000,449000,397000,845000,711000,n.a.,414000,-2417000,-2653000,-2475000,-2532000,-2495000,-2690000,-2677000,-2627000,-2454000,-2704000
19.,INTERNATIONAL BUSINESS MACHINES CORP,541512,n.a.,8734000,11206000,12421000,11979000,13886000,16562000,21830000,21316000,22999000,n.a.,5590000,9431000,8728000,5753000,11872000,13190000,12023000,16483000,16604000,n.a.,155971000,152186000,123382000,125356000,117470000,110495000,117271000,126223000,119213000,n.a.,13812000,8868000,11999000,12592000,8538000,8200000,8500000,11102000,11138000,n.a.,135373000,131345000,106587000,107762000,99224000,96233000,105403000,103431000,100353000,n.a.,39869000,37701000,38227000,37363000,36275000,34269000,39581000,40154000,43625000,n.a.,3301000,2839000,3046000,4219000,3235000,2847000,5084000,4633000,4948000,n.a.,-4227000,-4209000,-3127000,-3021000,-2837000,-2662000,-3145000,-3327000,-3392000
20.,PEPSICO INC,312111,n.a.,10340000,10604000,10382000,10490000,10048000,8569000,9999000,9980000,9407000,n.a.,7120000,7314000,12513000,4853000,6323000,5446000,6503000,6732000,6171000,n.a.,92918000,78547000,77648000,79804000,73490000,69667000,70509000,77478000,74638000,n.a.,9551000,5738000,8993000,19510000,16125000,12009000,8726000,9678000,6619000,n.a.,79464000,63761000,63130000,68915000,62395000,57744000,53071000,53199000,52344000,n.a.,23372000,20461000,22138000,20502000,21135000,17578000,18092000,17839000,17089000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,371000,n.a.,-2458000,-2351000,-2330000,-2301000,-2298000,-2341000,-2533000,-2553000,-2570000
21.,MARATHON PETROLEUM CORPORATION,324110,n.a.,-11880000,4462000,4690000,4130000,2553000,4398000,3595000,3605000,5347000,n.a.,-9826000,2637000,2780000,3432000,1174000,2852000,2524000,2112000,3389000,n.a.,85158000,98556000,92940000,49047000,44413000,43115000,30425000,28385000,27223000,n.a.,415000,1393000,1687000,3011000,887000,1127000,1494000,2292000,4860000,n.a.,62959000,64862000,57765000,35014000,30856000,29878000,19674000,17465000,15529000,n.a.,15663000,16948000,13216000,10478000,7146000,6345000,8579000,9824000,8203000,n.a.,1105000,1015000,1446000,169000,153000,184000,647000,513000,598000,n.a.,-3039000,-3281000,-2490000,-2062000,-1981000,-1646000,-1326000,-1220000,-995000
22.,ALBERTSONS COMPANIES; INC.,445110,n.a.,1617500,1437100,787300,-4900,640500,401700,-649400,-475100,38700,n.a.,850200,466400,131100,46300,-373300,-502200,-1225200,1732600,79000,n.a.,26598000,24735100,20776600,21812300,23755000,23770000,25761800,9359000,n.a.,n.a.,1717000,470700,926100,670300,1219200,579700,1125800,307000,n.a.,n.a.,23674600,22457000,19325900,20414100,22383800,22156800,23593300,7599400,n.a.,n.a.,6832200,5904300,5152700,5029600,5740800,5182500,6201400,2031500,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,145400,85400,n.a.,n.a.,-1380300,-1335500,-1359100,-1450700,-1390000,-1233300,-568600,-561900,-16200
23.,LOCKHEED MARTIN CORP,336411,n.a.,8671000,8511000,7244000,6387000,5459000,4485000,4620000,4385000,4205000,n.a.,6833000,6230000,5046000,1963000,5173000,3605000,3614000,2981000,2745000,n.a.,50710000,47528000,44876000,46620000,47806000,49304000,37046000,36188000,38657000,n.a.,3160000,1514000,772000,2861000,1837000,1090000,1446000,2617000,1898000,n.a.,44695000,44401000,43482000,47470000,46295000,46207000,33646000,31270000,38618000,n.a.,13933000,13972000,14398000,12913000,12542000,13918000,11112000,11120000,12155000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-853000,-794000,-759000,-760000,-795000,-716000,-713000,-762000,-771000
24.,VALERO ENERGY CORP,324110,n.a.,-1579000,3747000,4737000,3841000,3620000,6829000,6672000,4218000,4905000,n.a.,-1421000,2422000,3122000,4065000,2289000,3990000,3630000,2720000,2083000,n.a.,51774000,53864000,50155000,50158000,46173000,44227000,45550000,47260000,44477000,n.a.,3313000,2583000,2982000,5850000,4816000,4114000,3689000,4292000,1734000,n.a.,32973000,32061000,28488000,28167000,26149000,23700000,24873000,27800000,26445000,n.a.,9283000,13160000,10724000,11071000,8328000,6994000,9980000,13123000,11929000,n.a.,112000,208000,49000,568000,78000,337000,809000,1022000,379000,n.a.,-2351000,-2255000,-2069000,-1986000,-1894000,-1842000,-1690000,-1720000,-1574000
25.,ARCHER DANIELS MIDLAND COMPANY,311211,n.a.,1712000,1512000,1874000,1439000,1603000,1881000,2820000,1871000,838000,n.a.,1772000,1379000,1810000,1595000,1279000,1849000,2248000,1342000,692000,n.a.,49719000,43997000,40833000,39963000,39769000,40157000,43997000,43752000,45136000,n.a.,666000,852000,2003000,804000,915000,1348000,1614000,3554000,2290000,n.a.,29719000,24789000,21852000,21650000,22596000,22258000,24422000,23596000,26216000,n.a.,18182000,13734000,11776000,12570000,13173000,13505000,15602000,15658000,16993000,n.a.,41000,72000,0,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-803000,-993000,-941000,-924000,-900000,-882000,-850000,-827000,-435000
26.,PHILLIPS 66,324110,n.a.,-5818000,2364000,4906000,1954000,1405000,4429000,3157000,2548000,3312000,n.a.,-3975000,3076000,5595000,5106000,1555000,4227000,4762000,3726000,4124000,n.a.,54721000,58720000,54302000,54371000,51653000,48580000,48692000,49798000,48073000,n.a.,2514000,1614000,3019000,3119000,2711000,3074000,5207000,5400000,3474000,n.a.,35737000,33810000,29649000,29286000,29263000,25480000,27102000,27848000,27298000,n.a.,9518000,11646000,8935000,10107000,9463000,7531000,11094000,12931000,12482000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1368000,-1324000,-1356000,-1318000,-1168000,-1078000,-995000,-947000,-906000
27.,HP INC.,334118,5615000,3940000,4187000,4086000,3855000,3933000,3926000,4432000,8143000,-8746000,6503000,2844000,3152000,5327000,2526000,2496000,4554000,5013000,5113000,-12650000,38610000,34681000,33467000,34622000,32913000,28987000,106882000,103206000,105676000,108768000,4304000,5138000,4537000,5877000,8146000,6288000,7584000,15133000,12163000,11301000,40260000,36909000,34660000,35261000,36321000,32876000,79114000,76475000,78407000,86332000,29096000,26220000,25293000,25131000,22412000,18808000,42191000,43735000,45521000,46666000,296000,223000,237000,340000,214000,231000,243000,1017000,1203000,846000,-627000,-673000,-623000,-448000,-353000,-316000,-302000,-344000,-3200000,-3311000
28.,BOEING COMPANY (THE),336411,n.a.,-12278000,6288000,11876000,10140000,6224000,7169000,7186000,6348000,6043000,n.a.,-11873000,-636000,10460000,8458000,5034000,5176000,5446000,4585000,3900000,n.a.,152136000,133625000,117359000,112362000,89997000,94408000,92921000,92663000,88896000,n.a.,25590000,10030000,8564000,9992000,10029000,12052000,13092000,15258000,13558000,n.a.,170452000,142242000,117020000,110706000,89180000,88073000,84256000,77788000,83029000,n.a.,87280000,97312000,81590000,74648000,50134000,50412000,48233000,51486000,44982000,n.a.,43000,670000,485000,380000,89000,262000,119000,6267000,4485000,n.a.,-1929000,-1940000,-1842000,-1807000,-1889000,-1609000,-1679000,-1639000,-1598000
29.,RAYTHEON TECHNOLOGIES CORPORATION,336412,n.a.,-1121000,4914000,2877000,8061000,8221000,7750000,9646000,8549000,7684000,n.a.,-3519000,5537000,5269000,4552000,5055000,7608000,6220000,5721000,5130000,n.a.,162153000,139615000,134211000,96920000,89706000,87484000,91206000,90594000,89409000,n.a.,8802000,4937000,6152000,8985000,7157000,7075000,5229000,4619000,4866000,n.a.,89990000,97841000,95765000,67310000,62127000,60126000,59993000,58728000,63495000,n.a.,35848000,46594000,31368000,24391000,21906000,22618000,23475000,22800000,23786000,n.a.,n.a.,n.a.,460000,285000,382000,2498000,305000,540000,n.a.,n.a.,-2031000,-1464000,-1160000,-1306000,-1184000,-1141000,-1107000,-1030000,-977000
30.,CISCO SYSTEMS INC,334210,13739000,14097000,14500000,12708000,12739000,12960000,11254000,9763000,11301000,10369000,10591000,11214000,11621000,110000,9609000,10739000,8981000,7853000,9983000,8041000,97497000,94853000,97793000,108784000,129818000,121652000,113373000,105070000,101191000,91759000,24518000,29419000,33434000,46548000,70492000,65756000,60416000,52074000,50610000,48716000,56222000,56933000,64222000,65580000,63681000,58066000,53675000,48416000,42071000,40473000,26257000,25331000,31712000,27035000,27583000,24911000,23412000,19809000,21996000,17731000,801000,839000,1149000,1004000,98000,517000,62000,159000,192000,276000,-931000,-1008000,-1123000,-1331000,-1471000,-1270000,-1269000,-1415000,-1350000,-1795000
31.,MERCK & CO.; INC.,325412,n.a.,8788000,12530000,11156000,9342000,5995000,8498000,8105000,8451000,10496000,n.a.,7067000,9843000,6220000,2394000,3920000,4442000,11920000,4404000,6168000,n.a.,91588000,84397000,82637000,87872000,95377000,101677000,98167000,105645000,106132000,n.a.,8062000,10450000,8864000,8498000,14341000,13427000,15719000,17486000,16141000,n.a.,66271000,58490000,55936000,53536000,55289000,57001000,49520000,55880000,53112000,n.a.,27327000,22220000,22206000,18614000,17204000,19201000,18397000,17868000,18348000,n.a.,1575000,736000,1971000,708000,2239000,1560000,1237000,251000,1200000,n.a.,-1726000,-1788000,-1619000,-1537000,-1741000,-1675000,-2491000,-2288000,-1764000
32.,BEST BUY CO; INC,443142,n.a.,2587000,2050000,1971000,1856000,1736000,1509000,1442000,1264000,448000,n.a.,1798000,1541000,1464000,1000000,1228000,897000,1233000,532000,-441000,n.a.,19067000,15591000,12901000,13049000,13856000,13519000,15245000,14013000,16787000,n.a.,5494000,2229000,1980000,3133000,3921000,3281000,3888000,2901000,1826000,n.a.,14480000,12112000,9595000,9437000,9147000,9141000,10250000,10027000,13726000,n.a.,10521000,8060000,7513000,7817000,7122000,6925000,7777000,7436000,10810000,n.a.,n.a.,n.a.,n.a.,137000,26000,128000,230000,147000,129000,n.a.,-759000,-740000,-748000,-683000,-654000,-657000,-656000,-686000,-756000
33.,ABBVIE INC.,325412,n.a.,11869000,11936000,6544000,9474000,9364000,7721000,3411000,5679000,6000000,n.a.,4616000,7882000,5687000,5309000,5953000,5144000,1774000,4128000,5275000,n.a.,150565000,89115000,59352000,70786000,66099000,53050000,27513000,29198000,27008000,n.a.,8479000,39924000,8061000,9789000,6423000,8407000,8374000,9895000,7976000,n.a.,137489000,97287000,67798000,65689000,61463000,49105000,25771000,24706000,23645000,n.a.,28661000,15585000,17239000,16641000,9781000,10894000,11393000,6879000,6776000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-666000,-464000,-471000,-425000,-425000,-417000,-383000,-388000,-525000
34.,NIKE INC,316210,7186000,2710000,4772000,4445000,4749000,4502000,4175000,3680000,3238000,3069000,5727000,2539000,4029000,1933000,4240000,3760000,3273000,2693000,2472000,2211000,37740000,31342000,23717000,22536000,23259000,21379000,21597000,18594000,17545000,15465000,13476000,8787000,4663000,5245000,6179000,5457000,5924000,5142000,5965000,3757000,24973000,23287000,14677000,12724000,10852000,9121000,8890000,7770000,6464000,5084000,9674000,8284000,7866000,6040000,5474000,5358000,6332000,5027000,3962000,3882000,306000,156000,229000,150000,84000,85000,71000,432000,84000,65000,-744000,-721000,-705000,-747000,-706000,-649000,-606000,-518000,-438000,-373000
35.,DEERE & CO,333111,8445000,5509000,5498000,5156300,4171300,2928700,3059100,5461400,6224700,5517200,5963000,2751000,3253000,2368400,2159100,1523900,1940000,3161700,3537300,3064700,84114000,75091000,73011000,70108000,65786300,57918500,57947600,61336400,59521300,56265800,8017000,7066000,3857000,3904000,9334900,4335800,4162200,3787000,3504000,4652200,65683000,62154000,61598000,58820200,56229000,51398500,51204200,52273800,49255500,49423700,26034000,21834000,23129000,23309600,21217900,18022200,19280700,20230800,21978500,18639500,933000,730000,734000,836000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-1934000,-2016000,-1910000,-1827100,-1697500,-1544800,-1372400,-1295500,-1118300,-894000
